Market,Rows,Start,End,Mean Return (%),Std Dev (%),Skewness,Kurtosis,Sharpe (annl)
SSE,3919,2010-04-09,2026-06-05,0.0143,1.2443,-0.6896,6.7999,0.183
CSI300,1206,2021-06-15,2026-06-05,-0.0006,1.1076,0.1834,7.1384,-0.009
SP500,4068,2010-04-06,2026-06-05,0.0509,1.0894,-0.361,12.84,0.741
NASDAQ,4068,2010-04-06,2026-06-05,0.0664,1.2949,-0.2503,7.9142,0.814
DJIA,4068,2010-04-06,2026-06-05,0.0432,1.0456,-0.4197,18.0033,0.656
FTSE100,4083,2010-04-01,2026-06-05,0.0195,0.9749,-0.5219,9.0572,0.318
DAX,4104,2010-04-01,2026-06-05,0.0414,1.2247,-0.2919,7.0194,0.537
CAC40,4136,2010-04-01,2026-06-05,0.0251,1.2242,-0.3114,7.4638,0.325
NIFTY50,3969,2010-04-08,2026-06-05,0.0425,1.0417,-0.6639,11.5947,0.647
BOVESPA,4007,2010-04-07,2026-06-05,0.0323,1.4548,-0.4826,10.4917,0.352
