Market,CatBoost,LightGBM,QKernel_Ridge,QKernel_XGBoost,RandomForest,Ridge,VQR,XGBoost
BOVESPA,-0.069,-0.2835,0.3835,0.4222,-0.0661,-0.0796,0.3468,-0.2528
CAC40,-0.0595,-0.27,0.3681,0.4054,-0.0807,-0.2058,0.4101,-0.1847
CSI300,-0.052,-0.2082,0.368,0.4136,-0.0358,-0.2518,0.4007,-0.2327
DAX,-0.0775,-0.1949,0.4303,0.4653,-0.0748,-0.2496,0.4003,-0.2161
DJIA,-0.077,-0.2291,0.3914,0.4168,-0.1817,-0.2663,0.4321,-0.2422
FTSE100,-0.0329,-0.1963,0.46,0.4812,-0.032,-0.1632,0.5314,-0.1328
NASDAQ,-0.055,-0.1715,0.4063,0.4329,-0.3105,-0.1267,0.4064,-0.3137
NIFTY50,-0.0414,-0.2415,0.3784,0.4128,-0.0632,-0.2091,0.3982,-0.1576
SP500,-0.0384,-0.164,0.39,0.4191,-0.1888,-0.2736,0.4104,-0.3081
SSE,-0.0607,-0.1618,0.4027,0.436,-0.1688,-0.0944,0.4583,-0.2438
