Market,Best Classical,Cl RMSE,Cl R²,Cl DirAcc,Best Quantum,Qu RMSE,Qu R²,Qu DirAcc,RMSE Impr (%),R² Gain,DirAcc Gain (pp),Quantum Helps
SSE,CatBoost,0.012328,-0.0607,0.5246,VQR,0.005929,0.4583,0.7467,51.91,0.519,22.2,True
CSI300,RandomForest,0.010938,-0.0358,0.5279,QKernel_XGBoost,0.008673,0.4136,0.7,20.71,0.4495,17.21,True
SP500,CatBoost,0.010908,-0.0384,0.5404,QKernel_XGBoost,0.006175,0.4191,0.7225,43.39,0.4575,18.21,True
NASDAQ,CatBoost,0.013152,-0.055,0.5264,QKernel_XGBoost,0.007566,0.4329,0.732,42.47,0.4878,20.56,True
DJIA,CatBoost,0.010613,-0.077,0.5243,QKernel_XGBoost,0.006231,0.4321,0.728,41.29,0.5091,20.37,True
FTSE100,RandomForest,0.009721,-0.032,0.5326,QKernel_XGBoost,0.006327,0.5314,0.7467,34.92,0.5635,21.4,True
DAX,RandomForest,0.012658,-0.0748,0.5254,QKernel_XGBoost,0.007384,0.4653,0.72,41.67,0.5401,19.46,True
CAC40,CatBoost,0.012313,-0.0595,0.5158,QKernel_XGBoost,0.007776,0.4101,0.7533,36.84,0.4696,23.76,True
NIFTY50,CatBoost,0.010537,-0.0414,0.5437,QKernel_XGBoost,0.006532,0.4128,0.714,38.0,0.4542,17.03,True
BOVESPA,RandomForest,0.014831,-0.0661,0.5264,QKernel_XGBoost,0.009466,0.4222,0.7333,36.18,0.4883,20.69,True
